entre, between
sous, under
rien, nothing
alors, then
puis, then
vers, to
ainsi, so
avant, before
monde, world
faut, must
quelques, a few
jusqu'à, until
mes, my
trois, three
jour, day
toutes, all
trop, too much
notre, our
déjà, already
yeux, eyes
cela, it
soit, whether
donc, therefore
celui, that
chez, at
contre, against
devant, in front
depuis, since
celle, that
tête, head
petit, small
chaque, each
j'avais, I had
ans, years
père, father
voir, see
quelque, some
chose, thing
main, hand
mère, mother
cet, this
point, point
ils avaient, they had
nos, our
eux, them
fut, was
grande, big
moment, moment
hommes, men
porte, door
parce que, because
cas, case
ici, here
car, because
partie, part
seulement, only
air, air
ceux, those
beaucoup, a lot
nuit, night
seul, alone
France, France
femme, woman
enfin, finally
corps, body
coup, blow
oui, yes
bon, good
quoi, what
pendant, during
place, spot
maintenant, now
souvent, often
voix, voice
il aurait, he would have
mal, bad
assez, enough
doit, must
pays, country
première, first (feminine)
premier, first
mort, dead
je sais, I know
d'ailleurs, also
jours, days
eau, water
près, close
côté, side
tant, as
toi, you
sens, meaning
terre, earth
presque, almost
mieux, better
petite, small
serait, would be
loin, far
pourquoi, why
la histoire, the story
guerre, war
surtout, mainly
comment, how
heures, hours
heure, hour
fin, end
soir, evening
ensemble, together
maison, house
personne, person
personne, no one
quatre, four
enfant, child
doute, doubt
il pouvait, he could have
dès, from
faisait, was doing
travail, work
bras, arm
effet, effect
reste, rest
nom, name
général, general
dieu, god
cours, course
forme, form
enfants, children
exemple, example
votre, your
parfois, sometimes
pourtant, yet
cœur, heart
nombre, number
ton, tone
nouveau, new
visage, face
jeune, young
siècle, century
mains, hands
paris, Paris
droit, right
il fit, he did
années, years
fond, background
nous avons, we have
abord, to arrive
bas, low
rue, street
dis, say
derrière, behind
dessus, over
amour, love
choses, things
français, French
vieux, old
prendre, take
façon, way
gens, people
peine, pain
ils peuvent, they can
ce sera, it will
ordre, order
lieu, place
vrai, true
même, same
compte, account
autour, around
tard, late
fille, girl
longtemps, for a long time
certains, some
bois, wood
suite, suite
plusieurs, several
raison, reason
sorte, sort
pouvoir, power
pris, taken
long, long
vue, view
grands, big
haut, high
parler, talk
aujourd'hui, today
aller, to go
bout, end
chambre, room
bonne, good (feminine)
esprit, spirit
saint, saint
possible, possible
autant, as
passé, past
soleil, sun
ville, city
savoir, to know
je/tu veux, I/you want
vite, quickly
cinq, five
vous avez, you have (plural)
dix, ten
mer, sea
milieu, middle
mois, month
tour, turn
mot, word
cependant, however
lumière, light
ciel, sky
question, question
idée, idea
il allait, he was going
donner, to give
fort, strong
plutôt, rather
matin, morning
regard, look
mots, words
mesure, measure
voilà, there
il devait, he had to
force, force
politique, policy
action, action
quel, what
oeuvre, work
sûr, certain
nature, nature
il sait, he knows
aucun, none
requête, request
table, table
mis, placed
femmes, women
instant, moment
disait, said
besoin, need
petits, small
lit, bed
celles, those
laquelle, which
fils, son
lorsque, when
face, face
beau, beautiful
semble, seems
trouve, is
passer, pass
silence, silence
nouvelle, news
quelle, what
selon, according to
vingt, twenty
mettre, put
jean, jeans
monsieur, Mr.
rôle, role
aucune, no
fallait, had
jeu, game
système, system
partir, from
vient, just
propre, own
peur, fear
prix, price
eut, was
vraiment, really
veut, wants
