qué what
por by
una a
los the
con with
para to
está is
pero but
bien well
las the
eso that
aquí here
del of
como as
más more
todo all
muy very
esto this
vamos we
ahora now
esta this
hay there
algo something
estoy am
tengo I have
así so
nada nothing
nos us
cuando when
cómo how
estás are
sólo only
quiero I
gracias thanks
tiene you have
este this
soy am
puedo I can
bueno good
era era
ser be
vez time
hacer do
todos all
fue was
son are
ella it
eres you are
usted you
tienes you have
puede can
señor Mr.
quién who
ese that
voy I
creo I
casa home
porque because
hola hello
tan so
favor favor
dónde where
sus their
dos two
nunca never
sabes know
verdad truth
quieres you
mucho much
tiempo time
estaba was
entonces then
mejor better
esa that
hace ago
hombre man
dios god
también also
vida life
están are
sin without
ver see
has have
siempre always
ahí there
hasta to
siento Sorry
puedes can
decir say
sobre on
años years old
tenemos we
uno one
día day
cosas stuff
noche night
alguien someone
antes before
mis I
poco little
otra other
quiere want
solo single
nadie no one
nosotros we
gente people
parece seems
padre father
dinero money
estar be
hecho done
les them
sea is
estamos we
mismo same
dijo said
mira sight
trabajo work
pasa pass
claro clear
vas you
ellos they
mañana morning
otro other
han have
hablar talk
después after
desde from
tal such
mundo world
sabe know
acuerdo agreement
había had
momento time
fuera out
hijo son
amigo friend
donde where
seguro insurance
podría could
mujer woman
días days
madre mother
tus your
cosa thing
allí there
lugar place
dice says
gusta like
gran great
tenía had
será will
mierda shit
mamá mom
papá dad
hoy today
espera waiting
tres three
ven are
buena good
tener have
luego then
dije I
podemos we
nuevo new
estado state
menos less
tipo type
nuestro our
debe should
sido been
buen good
conmigo me
mal wrong
todas all
nombre name
mío mine
crees think
haciendo by
toda all
amor love
visto viewed
quería would
importa matter
tarde afternoon
parte part
estas these
tienen have
aún still
necesito need
nuestra our
tanto so
cada each
veces times
hora time
contigo with you
haber have
oye hear
buenas good
hombres men
hacerlo do
demasiado too
haces do
dicho that
quien who
saber know
entre between
adiós goodbye
vaya go
unos about
cierto certain
debo I
problema problem
razón reason
esos those
alguna any
pues for
quizá perhaps
hemos we
idea idea
veo I
chica girl
policía police
amigos friends
hizo did
serio serious
realmente really
ustedes you
estos these
cabeza head
digo say
hermano brother
van will
cariño love
salir leave
vale voucher
familia family
pasado last
cuenta account
muchas many
algún some
somos we
señora Mrs.
pueden can
muerto dead
viejo old
noches nights
lado side
debería should
todavía still
sabía knew
rápido fast
ves see
suerte luck
cuidado care
sería would
mientras as
primera first
nueva new
miedo fear
buenos good
puerta door
contra against
casi almost
cuánto how
esas those
espero I hope
pronto soon
venga come
chico boy
niños children
agua water
pasó spent
cualquier any
pensé I
ciudad city
primero first
hacia to
historia history
camino road
debes you
deja leaves
dentro in
viene is
año year
forma form
guerra war
durante during
esposa wife
volver return
feliz happy
cuál which
adelante forward
allá there
ojos eyes
hice I
caso case
mano hand
chicos boys
minutos minutes
muerte death
toma take
gustaría like
haré will
semana week
loco crazy
supuesto supposed
pasar pass
entiendo I understand
iba was
jefe chief
manos hands
corazón heart
venir come
supongo I guess
problemas problems
ayuda help
déjame let me
vete go
juntos together
niño child
importante important
arriba up
sra Mrs.
otros others
hija daughter
cinco five
mas more
fin end
personas people
hablando talking
cara face
habla speech
mujeres women
llama flame
cuándo when
ningún no
tierra land
grande large
manera way
bajo low
nuestros our
persona person
dices say
tío uncle
horas hours
dijiste said
auto car
escucha listening
único only
poder power
quieren want
siquiera even
debemos we
quizás perhaps
aunque although
cuatro four
cerca close
cree cree
sigue is
dame give me
ninguna no
listo ready
igual like
muchos many
pequeño small
significa means
dejar leave
hago I
clase class
capitán captain
doctor doctor
llegar get
genial brilliant
suficiente enough
trabajar work
tomar take
hey hey
joven young
vivir live
abajo below
haya has
justo just
hubiera had
primer first
número number
necesita needs
pensar think
puta bitch
fui I
entrar enter
conozco I know
misma same
fuerte strong
srta srta
basta just
comer eat
algunos some
morir die
éste this
atrás back
dicen say
difícil difficult
amo master
vino wine
dar give
bastante quite
unas some
pueda can
punto point
hijos children
podía could
final final
hermana sister
meses months
sangre blood
escuela school
haga do
realidad reality
queda is
pueblo people
hiciste did
última last
coche car
juego game
dime tell me
paz peace
encontrar find
cuerpo body
eran were
dólares U.S. dollars
vuelta return
mayor higher
iré go
sola one
tenido had
hacen do
malo bad
maldita damn
maldito damn
alto high
saben know
deberías should
fácil easy
comida food
chicas girls
querida mistress
pregunta question
culpa fault
dormir sleep
ido gone
fiesta party
posible possible
diablos hell
medio medium
tampoco neither
cama bed
teléfono phone
equipo team
adónde where
lejos away
palabra word
diga say
trata is
matar kill
preocupes worry
país country
